"-119.9 , 37.4",
temp,ppt
14.8,493.55
14.4,544.64
15.7,649.52
14.4,661.92
15.1,468.04
14.8,367.12
14.5,515.41
15.6,640.92
14.7,435.52
15.2,536.09
16.4,505.04
14.7,680.66
16,905.37
15,795.65
14.9,918.76
15.7,437.15
15.7,999.7
14.4,906.4
14.6,634.42
15.1,672.89
14.1,691.11
14.5,796.02
14.4,594.02
14.8,299.69
13.5,568.84
13.9,468.56
14.8,935.03
14.4,605.44
14.2,839.34
14,399.35
14.3,644.34
14.3,898.71
14.6,447.21
14.7,658.46
15.6,785.52
15.7,476.26
15.2,621.6
15,394.25
14.6,665.41
14,854.69
14.2,712.45
14,690.99
15.1,442.73
14.5,775.75
14.8,570.4
14.4,1053.14
15,770.37
13.6,464.67
14.5,387.56
14.7,861.51
14.9,603.79
13.7,651.57
14.2,314.55
14.9,555.39
14.7,1086.09
14.9,695.38
15,739.92
15.9,683.31
14,1315.51
14.4,1306.28
14.9,429.36
14.4,536.58
15.2,692.75
14.9,526.69
15.2,505.66
14.7,458.31
14.8,401.85
15.1,664.5
15.8,662.99
14.8,787.35
14.9,513.63
15.4,988.51
15.8,1140.44
15.7,586.25
14,1038.39
15.2,471.09
15.6,825.46
16.2,732.77
15.9,525.48
16.1,511.09
15.8,605.47
15.7,868.51
15.5,756.55
15.5,392.95
15.7,563.56
15.5,629.46
14.7,998.97
14.5,662.66
15.8,648.91
16,176.27
17.1,405.19
16.5,457.41
16.2,785.31
16.3,1040.23
16.2,702.31
15.4,918.96
16.5,350.86
16.9,627.47
16.9,522.16
15.7,976.6
